scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Rhinolophus landeri	19546	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Lander's Horseshoe Bat	Martin, 1838	2017	LC		False	False	True		17679409	2000	0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Rhinolophus lepidus	19547	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Blyth's Horseshoe Bat	Blyth, 1844	2008	LC		False	False	True	>2,000	>20,000	2338	0			Bumrungsri, S., Francis, C. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus luctus	19548	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Great Woolly Horsehoe Bat	Temminck, 1834	2008	LC		False	False	True	>2,000	>20,000	923	0			Walston, J., Kingston, T. & Hutson, A.M.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus maclaudi	19549	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Maclaud's Horseshoe Bat	Pousargues, 1897	2008	EN	B2ab(iii)	False	False	True							Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus macrotis	19550	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Big-eared Horseshoe Bat	Blyth, 1844	2008	LC		False	False	True	>2,000	>20,000	1692	200			Molur, S., Srinivasulu, C. & Francis, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus madurensis	136410	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Madura Horseshoe Bat	K. Andersen, 1918	2016	VU	B1ab(ii,iii)	False	False	True		9957	500	0			Csorba, G., Kingston, T. & Hutson, A.M.	Piraccini, R.				
Rhinolophus maendeleo	44783	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Maendeleo Horseshoe Bat	Kock, Csorba &amp; Howell, 2000	2008	DD		False	False	True			1900				Jacobs, D., Cotterill, F.P.D. & Taylor, P.J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus malayanus	19551	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Malayan Horseshoe Bat	Bonhote, 1903	2008	LC		False	False	True			1200	0			Bates, P., Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus marshalli	19552	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Marshall's Horseshoe Bat	Thonglongya, 1973	2008	LC		False	False	True			800	0			Bates, P., Francis, C. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus mcintyrei	84372245	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus		Hill &amp; Schlitter 1982	2017	DD		False	False	True		72169	1600	270			Patrick, L. & Ruedas, L.	Piraccini, R.				
Rhinolophus megaphyllus	19553	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Eastern Horseshoe Bat	Gray, 1834	2017	LC		False	False	True			1600	0			Armstrong, K. & Aplin, K.	Piraccini, R.				
Rhinolophus mehelyi	19519	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Mehely's Horseshoe Bat	Matschie, 1901	2016	VU	A4c	False	False	True		18885688	2000	0			Alcaldé, J., Benda, P. & Juste, J.	Piraccini, R.				
Rhinolophus microglobosus	84384558	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Indo-Chinese Lesser Brown Horseshoe Bat	Csorba and Jenkins, 1998	2017	LC		False	False	True		2283291		0			Soisook, P.	Piraccini, R.				
Rhinolophus mitratus	19554	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Mitred Horseshoe Bat	Blyth, 1844	2016	DD		False	False	True		95	300	300			Csorba, G., Molur, S. & Srinivasulu, C.	Piraccini, R.				
Rhinolophus montanus	136248	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Timorese Horseshoe Bat	Goodwin, 1979	2016	EN	B2ab(iii)	False	False	True	11-499	6593	1220	40			Armstrong, K. & Csorba, G.	Piraccini, R.				
Rhinolophus mossambicus	64589126	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Mozambican Horseshoe Bat	Taylor, Stoffberg, Monadjem, Schoeman, Bayliss &amp; Cotterill, 2012	2017	LC		False	False	True							Shoeman, C.	Jacobs, D., Monadjem, A., McEwan, K., Taylor, P., Balona, J., Mushabati, L., Eiseb, S., Kaipf, I., Mtsetfwa, F., Mutumi, G. & Howard, A.				
Rhinolophus nereis	19556	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Anamban Horseshoe Bat	K. Andersen, 1905	2016	DD		False	False	True		10487					Bates, P., Bumrungsri, S., Walston, J. & Csorba, G.	Piraccini, R.				
Rhinolophus osgoodi	19557	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Osgood's Horseshoe Bat	Sanborn, 1939	2008	DD		False	False	True	unknown	unknown					Smith, A.T., Johnston, C.H., Jones, G. & Rossiter, S.	Johnston, C.H. & Chanson, J. (Global Mammal Assessment Team)				
Rhinolophus paradoxolophus	19558	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Bourret's Horseshoe Bat	(Bourret, 1951)	2008	LC		False	False	True							Bates, P., Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus pearsonii	19559	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Pearson's Horseshoe Bat	Horsfield, 1851	2008	LC		False	False	True	>2,000	>20,000	3077	610			Bates, P., Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus philippinensis	19560	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Large-eared Horseshoe Bat	Waterhouse, 1843	2008	LC		False	False	True			1500	200			Sedlock, J., Francis, C., Heaney, L. & Suyanto, I.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus proconsulis	84372306	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus		Hill, 1959	2017	EN	B1ab(iii)	False	False	True		2665					Patrick, L. & Ruedas, L.	Piraccini, R.				
Rhinolophus pusillus	19561	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Least Horseshoe Bat	Temminck, 1834	2008	LC		False	False	True			1370	0			Hutson, A.M., Kingston, T. & Walston. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus rex	19562	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	King Horseshoe Bat	G.M. Allen, 1923	2008	LC		False	False	True	unknown	unknown					Smith, A.T., Johnston, C.H., Jones, G. & Rossiter, S.	Johnston, C.H. & Chanson, J. (Global Mammal Assessment Team)				
Rhinolophus robinsoni	136496	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Peninsular Horseshoe Bat	K. Andersen, 1918	2008	NT		False	False	True							Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus rouxii	19563	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Rufous Horseshoe Bat	Temminck, 1835	2008	LC		False	False	True	>2,000	>20,000	1370	0			Bates, P., Csorba, G., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus rufus	19564	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Large Rufous Horseshoe Bat	Eydoux &amp; Gervais, 1836	2008	NT		False	False	True			350	0			Ong, P., Rosell-Ambal, G. & Tabaranza, B. & Heaney, L.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Rhinolophus ruwenzorii	44784	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Ruwenzori Horseshoe Bat	Hill, 1942	2008	VU	B1ab(ii,iii,iv,v)	False	False	True			2666	1666			Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus sakejiensis	44785	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Sakeji Horseshoe Bat	Cotterill, 2002	2008	DD		False	False	True							Cotterill, F.P.D	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus sedulus	19565	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Lesser Wooly Horseshoe Bat	K. Andersen, 1905	2008	NT		False	False	True			1500	0			Hutson, A.M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus shameli	19566	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Shamel's Horseshoe Bat	Tate, 1943	2008	LC		False	False	True							Bates, P., Bumrungsri, S., Francis, C., Csorba, G., Walston, J. & Dinh Thong, V.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus shortridgei	136631	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Shortridge's Horseshoe Bat	K. Andersen, 1918	2008	LC		False	False	True							Chiozza, F.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Rhinolophus siamensis	136651	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Thai Horseshoe Bat	Gyldenstolpe, 1917	2008	LC		False	False	True							Chiozza, F.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Rhinolophus silvestris	19567	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Forest Horseshoe Bat	Aellen, 1959	2008	DD		False	False	True							Cotterill, F.P.D	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus simulator	19568	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Bushveld Horseshoe Bat	K. Andersen, 1904	2017	LC		False	False	True		13593241		0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Rhinolophus sinicus	41529	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Chinese Horseshoe Bat	K. Andersen, 1905	2008	LC		False	False	True	>2,000	>20,000	2769	500			Bates, P., Csorba, G., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus smithersi	64588371	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Smithers's Horseshoe Bat	Taylor, Stoffberg, Monadjem, Schoeman, Bayliss &amp; Cotterill, 2012	2017	NT		False	False	True		222614					Taylor, P.	Monadjem, A., Jacobs, D., McEwan, K., Balona, J., Mushabati, L., Eiseb, S., Kaipf, I., Mtsetfwa, F., Mutumi, G. & Howard, A.				
Rhinolophus stheno	19569	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Lesser Brown Horseshoe Bat	K. Andersen, 1905	2008	LC		False	False	True			1200	0			Bates, P., Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus subbadius	19570	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Little Nepalese Horseshoe Bat	Blyth, 1844	2008	LC		False	False	True	<2,000	>20,000	1231				Csorba, G., Bates, P., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus subrufus	19571	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Small Rufous Horseshoe Bat	Andersen, 1905	2016	DD		False	False	True		405331	1000	0			Ong, P., Rosell-Ambal, R.G.B., Tabaranza, B., Heaney, D., Balete, M. & Duya, K.	Piraccini, R.				
Rhinolophus swinnyi	19572	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Swinny's Horseshoe Bat	Gough, 1908	2017	LC		False	False	True		4721341		0			Monadjem, A. & Cotterill, F.	Piraccini, R.				
Rhinolophus tatar	84372447	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus		Bergmans and Rozendaal, 1982	2017	LC		False	False	True				0			Patrick, L. & Ruedas, L.	Piraccini, R.				
Rhinolophus thomasi	19573	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Thomas's Horseshoe Bat	K. Andersen, 1905	2008	LC		False	False	True			1100	400			Bates, P., Bumrungsri, S. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rhinolophus trifoliatus	19574	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Trefoil Horseshoe Bat	Temminck, 1834	2008	LC		False	False	True	<2,000	<20,000	1800	0			Hutson, A.M., Kingston, T., Francis, C., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus virgo	19575	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Yellow-faced Horseshoe Bat	Andersen, 1905	2008	LC		False	False	True			1100	250			Ong, P., Rosell-Ambal, G. & Tabaranza, B.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Rhinolophus xinanzhongguoensis	82348701	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Wedge-sellaed Horseshoe Bat	Zhou, Guillén-Servent, Lim, Eger, Wang &amp; Jiang, 2009	2017	NT		False	False	True		26865	1980	1500			Zhou, Z. & Jiang, X.	Piraccini, R.				
Rhinolophus yunanensis	19576	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Dobson's Horseshoe Bat	Dobson, 1872	2008	LC		False	False	True	<2,000	<20,000	1231	0			Bates, P., Bumrungsri, S., Csorba, G., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinolophus ziama	44786	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	Ziama Horseshoe Bat	Fahr, Vierhaus, Hutterer &amp; Kock, 2002	2008	EN	B1ab(iii)	False	False	True				600			Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinonicteris aurantia	19589	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Rhinonicteris	Orange Leaf-nosed Bat	(Gray, 1845)	2017	LC		False	False	True							Armstrong, K., Reardon, T., Woinarski, J. & Burbidge, A.A.	Piraccini, R.				
Rhinophylla alethina	19591	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Rhinophylla	Hairy Little Fruit Bat	Handley, 1966	2008	NT		False	False	True			1700	0			Mantilla, H. & Burneo, S.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Rhinophylla fischerae	19592	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Rhinophylla	Fischer's Little Fruit Bat	Carter, 1966	2016	LC		False	False	True							Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Rhinophylla pumilio	19593	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Rhinophylla	Dwarf Little Fruit Bat	Peters, 1865	2015	LC		False	False	True			1400				Solari, S.	Battistoni, A.				
Rhinopoma cystops	82345555	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Egyptian Mouse-tailed Bat	Thomas, 1903	2017	LC		False	False	True							Benda, P.	Monadjem, A.				
Rhinopoma hadramauticum	82345696	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Yemeni Mouse-tailed Bat	Benda, Reiter, Al-Jumaily, Nasher &amp; Hulva, 2009	2017	EN	D	False	False	True		245	65	65			Benda, P.	Piraccini, R.				
Rhinopoma hardwickii	82345477	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Lesser Mouse-tailed Bat	Gray, 1831	2017	LC		False	False	True		30608328	1100	0			Monadjem, A., Aulagnier, S., Palmeirim, J. & Benda, P.	Piraccini, R.				
Rhinopoma macinnesi	19601	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Macinnes's Mouse-tailed Bat	Hayman, 1937	2008	DD		False	False	True							Aulagnier, S.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhinopoma microphyllum	19600	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Greater Mouse-tailed Bat	(Brünnich, 1792)	2017	LC		False	False	True		23644730	1200	0			Monadjem, A., Palmeirim, J. & Aulagnier, S.	Piraccini, R.				
Rhinopoma muscatellum	19602	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	RHINOPOMATIDAE	Rhinopoma	Small Mouse-tailed Bat	Thomas, 1903	2008	LC		False	False	True	<2,000	<5,000	1100	700			Molur, S., Srinivasulu, C. & Sharifi, M.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rhogeessa aeneus	136810	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Yucatan Yellow Bat	Goodwin, 1958	2008	LC		False	False	True							Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Medellín, R. & Schipper, J.				
Rhogeessa alleni	19679	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Allen's Yellow Bat	Thomas, 1892	2008	LC		False	False	True							Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Medellín, R. & Schipper, J.				
Rhogeessa bickhami	88151726	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa		Baird, Marchán-Rivadeneira, Pérez &amp; Baker, 2012	2017	LC		False	False	True							Solari, S.	Battistoni, A.				
Rhogeessa genowaysi	19680	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Genoways's Yellow Bat	Baker, 1984	2016	EN	B1ab(iii)	False	False	True		919	50	20			Arroyo-Cabrales, J.	Solari, S.				
Rhogeessa gracilis	19681	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Slender Yellow Bat	Miller, 1897	2008	LC		False	False	True			2000	600			Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Medellín, R. & Schipper, J.				
Rhogeessa hussoni	136220	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Husson's Yellow Bat	Genoways &amp; Baker, 1996	2016	DD		False	False	True							Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Rhogeessa io	88151760	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Thomas's Yellow Bat	Thomas, 1903	2016	LC		False	False	True							Soriano, P. & Tavares, V.	Solari, S.				
Rhogeessa menchuae	88151749	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa		Baird, Marchán-Rivadeneira, Pérez &amp; Baker, 2012	2017	DD		False	False	True							Solari, S.	Battistoni, A.				
Rhogeessa minutilla	19682	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Tiny Yellow Bat	Miller, 1897	2016	VU	A2c	False	False	True			860	0			Solari, S.	Battistoni, A.				
Rhogeessa mira	19683	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Least Yellow Bat	LaVal, 1973	2016	VU	B1ab(iii)	False	False	True		6731	340	125			Arroyo-Cabrales, J. & Ospina-Garces, S.	Solari, S.				
Rhogeessa parvula	19684	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Little Yellow Bat	H. Allen, 1866	2008	LC		False	False	True			1500				Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Medellín, R. & Schipper, J.				
Rhogeessa tumida	19685	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa	Black-winged Little Yellow Bat	H. Allen, 1866	2016	LC		False	False	True			1500				Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.	Solari, S.				
Rhogeessa velilla	88151777	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Rhogeessa		Thomas, 1903	2017	DD		False	False	True			550	0			Solari, S.	Battistoni, A.				
Rhynchonycteris naso	19714	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	EMBALLONURIDAE	Rhynchonycteris	Proboscis Bat	(Wied-Neuwied, 1820)	2016	LC		False	False	True			1500				Lim, B. & Miller, B.	Solari, S.				
Rousettus aegyptiacus	29730	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Egyptian Fruit Bat	(E. Geoffroy, 1810)	2016	LC		False	False	True			4000				Korine, C.	Mildenstein, T.				
Rousettus amplexicaudatus	19754	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Geoffroy's Rousette	(É. Geoffroy Saint-Hilaire, 1810)	2008	LC		False	False	True			2200	0			Csorba,  G., Rosell-Ambal, G. & Ingle, N.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rousettus bidens	19749	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Manado Rousette	(Jentink, 1879)	2008	VU	A3cd	False	False	True			1060	200			Helgen, K., Kingston, T., Ruedas, L. & Maharadatunkamsi, D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rousettus celebensis	19755	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Sulawesi Rousette	K. Andersen, 1907	2008	LC		False	False	True			1400	0			Ruedas, L., Kingston, T., Sinanga, U. & Maharadatunamsi, D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Rousettus lanosus	19758	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Long-haired Rousette	Thomas, 1906	2017	LC		False	False	True		1647894	4000	500			Monadjem, A., Howell, K., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Rousettus leschenaultii	19756	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Leschenault’s Rousette	(Desmarest, 1820)	2008	LC		False	False	True	>2,000	>20,000	1140	0			Bates, P. & Helgen, K.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Rousettus linduensis	136593	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Linduan Rousette	Maryanto &amp; Yani, 2003	2008	DD		False	False	True							Chiozza, F.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Rousettus madagascariensis	19750	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Rousettus	Madagascan Rousette	G. Grandidier, 1928	2008	NT		False	False	True			950	0			Andriafidison, D., Cardiff, S.G., Goodman, S.M., Hutson, A.M., Jenkins, R.K.B., Kofoky, A.F., Racey, P.A., Ranivo, J., Ratrimomanarivo, F.H. & Razafimanahaka, H.J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Hoffmann, M. (Global Mammal Assessment Team)				
