scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Cheiromeles torquatus	4601	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Cheiromeles	Greater Naked Bat	Horsfield, 1824	2008	LC		False	False	True							Csorba, G., Bumrungsri, S., Francis, C., Bates, P., Gumal, M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Chilonatalus micropus	14359	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Chilonatalus	Cuban Lesser Funnel-eared Bat	(Dobson, 1880)	2008	NT		False	False	True							Mancina, C.,  Rodriguez, A. & Incháustegui, S.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Chilonatalus tumidifrons	14361	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	NATALIDAE	Chilonatalus	Bahamian Lesser Funnel-eared Bat	Miller, 1903	2008	NT		False	False	True							Velazco, P. & Turvey, S.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Chiroderma doriae	4664	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	Brazilian Big-eyed Bat	Thomas, 1891	2015	LC		False	False	True							Tavares, V. & Aguirre, L.	Solari, S.				
Chiroderma improvisum	4665	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	Guadeloupean Big-eyed Bat	Baker &amp; Genoways, 1976	2016	EN	B1ab(i,ii,iii)	False	False	True	1000	4906					Solari, S.	Battistoni, A.				
Chiroderma salvini	4666	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	Salvin's Big-eyed Bat	Dobson, 1878	2015	LC		False	False	True							Aguirre, L., Mantilla, H., Miller, B. & Dávalos, L.	Solari, S.				
Chiroderma trinitatum	4667	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	Little Big-eyed Bat	Goodwin, 1958	2016	LC		False	False	True			1000				Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.	Solari, S.				
Chiroderma villosum	4668	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	Hairy Big-eyed Bat	Peters, 1860	2015	LC		False	False	True			600				Solari, S.	Battistoni, A.				
Chiroderma vizzotoi	88108434	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma		Taddei &amp; Lim, 2010	2017	DD		False	False	True							Solari, S.	Battistoni, A.				
Chironax melanocephalus	4670	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Chironax	Black-capped Fruit Bat	(Temminck, 1825)	2008	LC		False	False	True							Hutson, A.M., Kingston, T. & Suyanto, A.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Choeroniscus godmani	4772	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Choeroniscus	Godman's Long-tailed Bat	(Thomas, 1903)	2015	LC		False	False	True			1600	0			Tavares, V. & Molinari, J.	Solari, S.				
